metadata_column	enumeration	enumeration_description
in.county	G3100330	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 033"
in.county	G3100350	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 035"
in.county	G3100370	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 037"
in.county	G3100390	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 039"
in.county	G3100410	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 041"
in.county	G3100430	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 043"
in.county	G3100450	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 045"
in.county	G3100470	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 047"
in.county	G3100490	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 049"
in.county	G3100510	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 051"
in.county	G3100530	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 053"
in.county	G3100550	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 055"
in.county	G3100570	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 057"
in.county	G3100590	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 059"
in.county	G3100610	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 061"
in.county	G3100630	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 063"
in.county	G3100650	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 065"
in.county	G3100670	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 067"
in.county	G3100690	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 069"
in.county	G3100710	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 071"
in.county	G3100730	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 073"
in.county	G3100750	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 075"
in.county	G3100770	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 077"
in.county	G3100790	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 079"
in.county	G3100810	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 081"
in.county	G3100830	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 083"
in.county	G3100850	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 085"
in.county	G3100870	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 087"
in.county	G3100890	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 089"
in.county	G3100910	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 091"
in.county	G3100930	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 093"
in.county	G3100950	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 095"
in.county	G3100970	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 097"
in.county	G3100990	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 099"
in.county	G3101010	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 101"
in.county	G3101030	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 103"
in.county	G3101050	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 105"
in.county	G3101070	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 107"
in.county	G3101090	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 109"
in.county	G3101110	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 111"
in.county	G3101130	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 113"
in.county	G3101150	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 115"
in.county	G3101170	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 117"
in.county	G3101190	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 119"
in.county	G3101210	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 121"
in.county	G3101230	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 123"
in.county	G3101250	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 125"
in.county	G3101270	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 127"
in.county	G3101290	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 129"
in.county	G3101310	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 131"
in.county	G3101330	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 133"
in.county	G3101350	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 135"
in.county	G3101370	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 137"
in.county	G3101390	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 139"
in.county	G3101410	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 141"
in.county	G3101430	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 143"
in.county	G3101450	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 145"
in.county	G3101470	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 147"
in.county	G3101490	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 149"
in.county	G3101510	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 151"
in.county	G3101530	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 153"
in.county	G3101550	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 155"
in.county	G3101570	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 157"
in.county	G3101590	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 159"
in.county	G3101610	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 161"
in.county	G3101630	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 163"
in.county	G3101650	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 165"
in.county	G3101670	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 167"
in.county	G3101690	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 169"
in.county	G3101710	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 171"
in.county	G3101730	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 173"
in.county	G3101750	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 175"
in.county	G3101770	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 177"
in.county	G3101790	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 179"
in.county	G3101810	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 181"
in.county	G3101830	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 183"
in.county	G3101850	"GISJOIN identifier for each county, the NHGIS state code is 31, the NHGIS county code is 185"
in.county	G3200010	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 001"
in.county	G3200030	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 003"
in.county	G3200050	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 005"
in.county	G3200070	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 007"
in.county	G3200090	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 009"
in.county	G3200110	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 011"
in.county	G3200130	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 013"
in.county	G3200150	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 015"
in.county	G3200170	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 017"
in.county	G3200190	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 019"
in.county	G3200210	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 021"
in.county	G3200230	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 023"
in.county	G3200270	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 027"
in.county	G3200290	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 029"
in.county	G3200310	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 031"
in.county	G3200330	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 033"
in.county	G3205100	"GISJOIN identifier for each county, the NHGIS state code is 32, the NHGIS county code is 510"
in.county	G3300010	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 001"
in.county	G3300030	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 003"
in.county	G3300050	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 005"
in.county	G3300070	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 007"
in.county	G3300090	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 009"
in.county	G3300110	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 011"
in.county	G3300130	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 013"
in.county	G3300150	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 015"
in.county	G3300170	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 017"
in.county	G3300190	"GISJOIN identifier for each county, the NHGIS state code is 33, the NHGIS county code is 019"
in.county	G3400010	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 001"
in.county	G3400030	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 003"
in.county	G3400050	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 005"
in.county	G3400070	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 007"
in.county	G3400090	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 009"
in.county	G3400110	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 011"
in.county	G3400130	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 013"
in.county	G3400150	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 015"
in.county	G3400170	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 017"
in.county	G3400190	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 019"
in.county	G3400210	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 021"
in.county	G3400230	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 023"
in.county	G3400250	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 025"
in.county	G3400270	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 027"
in.county	G3400290	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 029"
in.county	G3400310	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 031"
in.county	G3400330	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 033"
in.county	G3400350	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 035"
in.county	G3400370	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 037"
in.county	G3400390	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 039"
in.county	G3400410	"GISJOIN identifier for each county, the NHGIS state code is 34, the NHGIS county code is 041"
in.county	G3500010	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 001"
in.county	G3500030	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 003"
in.county	G3500050	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 005"
in.county	G3500060	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 006"
in.county	G3500070	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 007"
in.county	G3500090	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 009"
in.county	G3500110	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 011"
in.county	G3500130	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 013"
in.county	G3500150	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 015"
in.county	G3500170	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 017"
in.county	G3500190	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 019"
in.county	G3500210	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 021"
in.county	G3500230	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 023"
in.county	G3500250	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 025"
in.county	G3500270	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 027"
in.county	G3500280	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 028"
in.county	G3500290	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 029"
in.county	G3500310	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 031"
in.county	G3500330	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 033"
in.county	G3500350	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 035"
in.county	G3500370	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 037"
in.county	G3500390	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 039"
in.county	G3500410	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 041"
in.county	G3500430	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 043"
in.county	G3500450	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 045"
in.county	G3500470	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 047"
in.county	G3500490	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 049"
in.county	G3500510	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 051"
in.county	G3500530	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 053"
in.county	G3500550	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 055"
in.county	G3500570	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 057"
in.county	G3500590	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 059"
in.county	G3500610	"GISJOIN identifier for each county, the NHGIS state code is 35, the NHGIS county code is 061"
in.county	G3600010	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 001"
in.county	G3600030	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 003"
in.county	G3600050	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 005"
in.county	G3600070	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 007"
in.county	G3600090	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 009"
in.county	G3600110	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 011"
in.county	G3600130	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 013"
in.county	G3600150	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 015"
in.county	G3600170	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 017"
in.county	G3600190	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 019"
in.county	G3600210	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 021"
in.county	G3600230	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 023"
in.county	G3600250	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 025"
in.county	G3600270	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 027"
in.county	G3600290	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 029"
in.county	G3600310	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 031"
in.county	G3600330	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 033"
in.county	G3600350	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 035"
in.county	G3600370	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 037"
in.county	G3600390	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 039"
in.county	G3600410	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 041"
in.county	G3600430	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 043"
in.county	G3600450	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 045"
in.county	G3600470	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 047"
in.county	G3600490	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 049"
in.county	G3600510	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 051"
in.county	G3600530	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 053"
in.county	G3600550	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 055"
in.county	G3600570	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 057"
in.county	G3600590	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 059"
in.county	G3600610	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 061"
in.county	G3600630	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 063"
in.county	G3600650	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 065"
in.county	G3600670	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 067"
in.county	G3600690	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 069"
in.county	G3600710	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 071"
in.county	G3600730	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 073"
in.county	G3600750	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 075"
in.county	G3600770	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 077"
in.county	G3600790	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 079"
in.county	G3600810	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 081"
in.county	G3600830	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 083"
in.county	G3600850	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 085"
in.county	G3600870	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 087"
in.county	G3600890	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 089"
in.county	G3600910	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 091"
in.county	G3600930	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 093"
in.county	G3600950	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 095"
in.county	G3600970	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 097"
in.county	G3600990	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 099"
in.county	G3601010	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 101"
in.county	G3601030	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 103"
in.county	G3601050	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 105"
in.county	G3601070	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 107"
in.county	G3601090	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 109"
in.county	G3601110	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 111"
in.county	G3601130	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 113"
in.county	G3601150	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 115"
in.county	G3601170	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 117"
in.county	G3601190	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 119"
in.county	G3601210	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 121"
in.county	G3601230	"GISJOIN identifier for each county, the NHGIS state code is 36, the NHGIS county code is 123"
in.county	G3700010	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 001"
in.county	G3700030	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 003"
in.county	G3700050	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 005"
in.county	G3700070	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 007"
in.county	G3700090	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 009"
in.county	G3700110	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 011"
in.county	G3700130	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 013"
in.county	G3700150	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 015"
in.county	G3700170	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 017"
in.county	G3700190	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 019"
in.county	G3700210	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 021"
in.county	G3700230	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 023"
in.county	G3700250	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 025"
in.county	G3700270	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 027"
in.county	G3700290	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 029"
in.county	G3700310	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 031"
in.county	G3700330	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 033"
in.county	G3700350	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 035"
in.county	G3700370	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 037"
in.county	G3700390	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 039"
in.county	G3700410	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 041"
in.county	G3700430	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 043"
in.county	G3700450	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 045"
in.county	G3700470	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 047"
in.county	G3700490	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 049"
in.county	G3700510	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 051"
in.county	G3700530	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 053"
in.county	G3700550	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 055"
in.county	G3700570	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 057"
in.county	G3700590	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 059"
in.county	G3700610	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 061"
in.county	G3700630	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 063"
in.county	G3700650	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 065"
in.county	G3700670	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 067"
in.county	G3700690	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 069"
in.county	G3700710	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 071"
in.county	G3700730	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 073"
in.county	G3700750	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 075"
in.county	G3700770	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 077"
in.county	G3700790	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 079"
in.county	G3700810	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 081"
in.county	G3700830	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 083"
in.county	G3700850	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 085"
in.county	G3700870	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 087"
in.county	G3700890	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 089"
in.county	G3700910	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 091"
in.county	G3700930	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 093"
in.county	G3700950	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 095"
in.county	G3700970	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 097"
in.county	G3700990	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 099"
in.county	G3701010	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 101"
in.county	G3701030	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 103"
in.county	G3701050	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 105"
in.county	G3701070	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 107"
in.county	G3701090	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 109"
in.county	G3701110	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 111"
in.county	G3701130	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 113"
in.county	G3701150	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 115"
in.county	G3701170	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 117"
in.county	G3701190	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 119"
in.county	G3701210	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 121"
in.county	G3701230	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 123"
in.county	G3701250	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 125"
in.county	G3701270	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 127"
in.county	G3701290	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 129"
in.county	G3701310	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 131"
in.county	G3701330	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 133"
in.county	G3701350	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 135"
in.county	G3701370	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 137"
in.county	G3701390	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 139"
in.county	G3701410	"GISJOIN identifier for each county, the NHGIS state code is 37, the NHGIS county code is 141"
